month,weight
1997M1,146.7225806451613
1997M2,146.64000000000001
1997M3,146.80740740740742
1997M4,147.53333333333333
1997M5,146.82857142857142
1997M6,146.7214285714286
1997M7,146.4344827586207
1997M8,146.75714285714287
1997M9,145.67777777777778
1997M10,146.36774193548388
1997M11,147.47407407407408
1997M12,147.65806451612903
1998M1,147.7225806451613
1998M2,148.2214285714286
1998M3,148.65925925925927
1998M4,150.14074074074074
1998M5,150.47407407407408
1998M6,150.4
1998M7,150.69411764705882
1998M8,147.95555555555555
1998M9,147.04285714285714
1998M10,148.26956521739132
1998M11,149.09565217391304
1998M12,149.25185185185185
1999M1,149.93846153846155
1999M2,150.85
1999M3,151.69032258064516
1999M4,151.51111111111112
1999M5,151.81666666666666
1999M6,152.63809523809525
1999M7,152.36153846153846
1999M8,150.51538461538462
1999M9,151.17777777777778
1999M10,151.51538461538462
1999M11,152.6962962962963
1999M12,153.5851851851852
2000M1,153.44545454545454
2000M2,154.25185185185185
2000M3,154.53793103448277
2000M4,155.775
2000M5,155.4
2000M6,156.025
2000M7,155.5304347826087
2000M8,154.50344827586207
2000M9,154.57391304347826
2000M10,155.86153846153846
2000M11,156.44166666666666
2000M12,156.69411764705882
2001M1,157.01290322580647
2001M2,156.59230769230768
2001M3,157.0818181818182
2001M4,157.05384615384617
2001M5,155.6258064516129
2001M6,155.04285714285714
2001M7,154.95555555555555
2001M8,152.6
2001M9,152.1391304347826
2001M10,152.4
2001M11,153.79285714285714
2001M12,154.07741935483872
2002M1,156.13333333333333
2002M2,157.2888888888889
2002M3,156.19310344827588
2002M4,157.8137931034483
2002M5,155.9714285714286
2002M6,153.1058823529412
2002M7,152.93333333333334
2002M8,150.81666666666666
2002M9,149.11428571428573
2002M10,149.22758620689655
2002M11,151.03333333333333
2002M12,151.4
2003M1,152.7225806451613
2003M2,154.2095238095238
2003M3,155.65
2003M4,155.63076923076923
2003M5,156.7793103448276
2003M6,155.4
2003M7,153.13333333333333
2003M8,151.29655172413794
2003M9,151.9714285714286
2003M10,153.06666666666666
2003M11,154.26666666666668
2003M12,155.04285714285714
2004M1,156.12413793103448
2004M2,156.75
2004M3,155.63076923076923
2004M4,156.21481481481482
2004M5,155.85
2004M6,154.34736842105264
2004M7,155.2357142857143
2004M8,153.73333333333335
2004M9,153.12857142857143
2004M10,152.97272727272727
2004M11,155.072
2004M12,155.34583333333333
2005M1,157.41538461538462
2005M2,157.62727272727273
2005M3,158.775
2005M4,160.432
2005M5,162
2005M6,162.296
2005M7,161.9090909090909
2005M8,160.31666666666666
2005M9,162.425
2005M10,163.796
2005M11,163.9875
2005M12,165.31666666666666
2006M1,166.75483870967741
2006M2,164.91304347826087
2006M3,165.16842105263157
2006M4,165.44615384615383
2006M5,166.32222222222222
2006M6,163.83928571428572
2006M7,162.90689655172415
2006M8,163.58823529411765
2006M9,163.6
2006M10,163.7423076923077
2006M11,163.5851851851852
2006M12,163.51666666666665
2007M1,164.02068965517242
2007M2,164.13333333333333
2007M3,165.55454545454546
2007M4,165.4235294117647
2007M5,166.13846153846154
2007M6,164.14615384615385
2007M7,161.9148148148148
2007M8,161.18571428571428
2007M9,160.44285714285715
2007M10,161.48333333333335
2007M11,163.45714285714286
2007M12,163.82142857142858
2008M1,163.02758620689656
2008M2,162.7421052631579
2008M3,161.53846153846155
2008M4,164.0842105263158
2008M5,165.1142857142857
2008M6,165.208
2008M7,165.64
2008M8,165.62608695652173
2008M9,166.44615384615383
2008M10,168.0222222222222
2008M11,168.04
2008M12,168.26153846153846
2009M1,168.9
2009M2,168.9
2009M3,166.2125
2009M4,166.71333333333334
2009M5,167.65185185185186
2009M6,166.81739130434784
2009M7,166.87777777777777
2009M8,167.25
2009M9,167.576
2009M10,167.80833333333334
2009M11,169.88695652173914
2009M12,170.33913043478262
2010M1,169.86206896551724
2010M2,169.93333333333334
2010M3,170.24166666666667
2010M4,171.36521739130436
2010M5,171.57241379310344
2010M6,171.808
2010M7,171.0782608695652
2010M8,170.936
2010M9,169.28695652173914
2010M10,170.576
2010M11,172.8090909090909
2010M12,174.04137931034484
2011M1,173.75
2011M2,173.9391304347826
2011M3,174.62105263157895
2011M4,173.9909090909091
2011M5,175.28421052631577
2011M6,173.65217391304347
2011M7,173.1076923076923
2011M8,173.42142857142858
2011M9,171.45714285714286
2011M10,171.864
2011M11,172.5090909090909
2011M12,172.49565217391304
2012M1,171.68148148148148
2012M2,174.20833333333334
2012M3,174.16923076923078
2012M4,173.80714285714285
2012M5,173.14193548387098
2012M6,172.825
2012M7,171.92857142857142
2012M8,172.85714285714286
2012M9,171.975
2012M10,168.792
2012M11,172.36666666666667
2012M12,172.84
2013M1,172.99354838709678
2013M2,174.34782608695653
2013M3,174.8625
2013M4,174.15652173913043
2013M5,173.69565217391306
2013M6,172.5375
2013M7,171.33793103448275
2013M8,172.58947368421053
2013M9,172.93571428571428
2013M10,174.8
2013M11,175.25263157894736
2013M12,175.376
2014M1,176.05714285714285
2014M2,176.09285714285716
2014M3,175.0818181818182
2014M4,175.104
2014M5,174.35454545454544
2014M6,171.2
2014M7,170.16
2014M8,170.45806451612904
2014M9,170.35862068965517
2014M10,171.075
2014M11,173.04285714285714
2014M12,173.728
2015M1,172.43666666666667
2015M2,174.36153846153846
2015M3,175.564
2015M4,174.22666666666666
2015M5,174.072
2015M6,173.56296296296296
2015M7,171.5185185185185
2015M8,169.05517241379312
2015M9,167.6
2015M10,166.25882352941176
2015M11,167.60689655172413
2015M12,167.9913043478261
2016M1,167.63666666666666
2016M2,167.78947368421052
2016M3,169.58709677419355
2016M4,170.50666666666666
2016M5,170.3090909090909
2016M6,168.16153846153847
2016M7,168.17333333333332
2016M8,167.66451612903225
2016M9,167.4857142857143
2016M10,168.568
2016M11,170.01333333333335
2016M12,170.66923076923078
2017M1,170.975
2017M2,171.24285714285713
2017M3,171.7483870967742
2017M4,171.47857142857143
2017M5,170.8709677419355
2017M6,168.7
2017M7,165.4896551724138
2017M8,167.03333333333333
2017M9,168.51724137931035
2017M10,169.1642857142857
2017M11,169.06666666666666
2017M12,169.61666666666667
2018M1,170.15172413793104
2018M2,171.4611111111111
2018M3,171.90967741935484
2018M4,172.15
2018M5,172.41290322580645
2018M6,170.98620689655172
2018M7,170.5225806451613
2018M8,169.60666666666668
2018M9,169.2551724137931
2018M10,169.85333333333332
2018M11,169.16296296296298
2018M12,170.7076923076923
2019M1,171.74666666666667
2019M2,168.72
2019M3,162.625
2019M4,NaN
2019M5,NaN
